show_id,country,director,cast
80224924,,Ben Wallis,Maggie Q
80149575,Argentina,Néstor Sánchez Sotelo,"Muriel Santa Ana, Peto Menahem, Héctor Díaz, Sebastián Wainraich, Karina K., Hernán Jiménez, Fabián Forte, Verónica Intile"
80175822,Japan,,"Daiki Shigeoka, Akito Kiriyama, Junta Nakama, Tomohiro Kamiyama, Ryusei Fujii, Takahiro Hamada, Nozomu Kotaki, Umika Kawashima, Takeshi Kaga, Norio Wakamoto"
80166467,United States,"Joel Gallen, Tig Notaro",Ellen DeGeneres
70123116,India,Ram Gopal Varma,"Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer"
80177986,South Korea,,"Lee Soo-kyung, Yoon Du-jun, Yoon So-hui, Shim Hyoung-tak, Do-yeon Lee, Jang Won-young, Jung Soo-young"
80223228,India,Manish Gupta,"Kay Kay Menon, Ashish Vidyarthi, Tisca Chopra, Mita Vashisht, Bikramjeet Kanwarpal, Ashwini Kalsekar, Kunal Sharma, Nimai Bali"
81037970,Indonesia,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan"
80123950,Mexico,,"Germán Bracco, Daniela Luque, José Antonio Becerril, Paula Serrano, Héctor Holten, Héctor Loeza, Edson Loyo, Brandon Rosas, José Sefami, Tiosha Bojórquez"
80103313,"United States, Spain",J.C. Falcón,"Sean Maher, Andrea Grano, Mark Cirillo, Nacho San José, Curt Hansen, Trey McCurley, Jimmy Shaw, Carmen Maura"
80003481,United States,James Yukich,Chelsea Handler
80173481,Thailand,,Sebastian Perry
70275751,United States,Jean-Marc Vallée,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare, Steve Zahn, Michael O'Neill, Dallas Roberts, Griffin Dunne, Kevin Rankin, Donna DuPlantier"
81035857,,Husam El-Gohari,"Kareem Mahmoud Abdel Aziz, Mai Selim, Sad Al-Saghir, Mahmood El-Laithi, Maher Essam, Dina"
80117555,United States,,"Clare-Hope Ashitey, Regina King, Beau Knapp, Michael Mosley, David Lyons, Russell Hornsby, Raúl Castillo, Patrick Murney"
80195901,"Thailand, China, United States","Jesse V. Johnson, Jesse Johnson","Tony Jaa, Iko Uwais, Tiger Chen, Scott Adkins, Celina Jade, Michael Bisping, Michael Jai White, JeeJa Yanin, Dominiquie Vandenberg"
81036190,,"Mike Diva, Akiva Schaffer","Andy Samberg, Akiva Schaffer, Jorma Taccone, Hannah Simone, Jenny Slate, Sterling K. Brown, Jim O'Heir, Maya Rudolph, Stephanie Beatriz, Alana Haim, Este Haim, Danielle Haim"
81108280,China,,"Zhang Chao, Li Tingting, Chen Bohao, Sun Jialing, Zhang Zhang, Li Jiuxiao, Deng Yuli, Li Huan, Fang Wenqiang, Gong Rui"
80244019,Netherlands,Joram Lürsen,"Barry Atsma, Jacob Derwig, Pierre Bokma, Jaap Spijkers, Raymond Thiry, Fockeline Ouwerkerk, Matteo van der Grijn, Jochum ten Haaf, Peter Jordan, Götz Schubert"
70065769,India,Gurudev Bhalla,"Abhishek Bachchan, Hrishitaa Bhatt, Amrish Puri, Mohnish Bahl, Helen, Om Puri, Ashish Vidyarthi, A.K. Hangal, Tinnu Anand, Daisy Irani, Dara Singh, Viju Khote, Shubha Khote"
81069393,United States,,R. Kelly
80081277,"Germany, France, Luxembourg, United Kingdom, United States",Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey, Vicky Krieps, Jeanne Werner, Julian Ovenden, August Zirner, Martin Wuttke, Stefan Merki"
70110558,"United States, Germany, United Kingdom",Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, Eddie Marsan, Kelly Reilly, James Fox, Hans Matheson, Geraldine James"
81121174,United States,Giulia Clark,Eric Meyers
